query_name,seed_name,mutation,query_path,vertex_count,edge_count,selected_metric,initial_ms,incremental_ms,initial_matches,positive_matches,negative_matches,edge_updates,timed_out,log_path
Q_gen_001,Q_21,change_label,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_001,8,7,104677.304688,36043.4023438,104677.304688,4986617132,5007347470,0,244341,False,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/logs/Q_gen_001.log
Q_gen_004,Q_21,rewire,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_004,8,7,51768.7890625,51768.7890625,29670.878906,75004040697,66148607066,0,244341,False,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/logs/Q_gen_004.log
Q_gen_008,Q_21,rewire_and_label,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_008,8,7,94713.695312,37516.0859375,94713.695312,1016255246,1071658701,0,244341,False,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/logs/Q_gen_008.log
Q_gen_009,Q_21,change_label,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_009,8,7,97785.664062,38072.5625,97785.664062,5083759578,5101213432,0,244341,False,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/logs/Q_gen_009.log
Q_gen_010,Q_21,change_label,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_010,8,7,113783.453125,40485.4648438,113783.453125,5069679055,5923793183,0,244341,False,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/logs/Q_gen_010.log
Q_gen_011,Q_21,rewire,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_011,8,7,58279.453125,15879.6259766,58279.453125,4519475363,4972363120,0,244341,False,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/logs/Q_gen_011.log
Q_gen_014,Q_21,rewire,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_014,8,7,101244.242188,54124.8242188,101244.242188,1191280581,1369813884,0,244341,False,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/logs/Q_gen_014.log
Q_gen_015,Q_21,change_label,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_015,8,7,108595.539062,38589.6914062,108595.539062,5420752921,5150898932,0,244341,False,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/logs/Q_gen_015.log
Q_gen_016,Q_21,rewire_and_label,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_016,8,7,71280.59375,24698.4199219,71280.59375,4467659986,4455163497,0,244341,False,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/logs/Q_gen_016.log
Q_gen_018,Q_21,rewire_and_label,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_018,8,7,66887.648438,18656.3242188,66887.648438,7151357106,6885429192,0,244341,False,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/logs/Q_gen_018.log
Q_gen_020,Q_21,rewire_and_label,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_020,8,7,31454.021484,30616.0605469,31454.021484,17833667633,13186225589,0,244341,False,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/logs/Q_gen_020.log
Q_gen_021,Q_21,rewire,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_021,8,7,102267.320312,37169.0859375,102267.320312,1127309353,1313485511,0,244341,False,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/logs/Q_gen_021.log
Q_gen_022,Q_21,rewire,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_022,8,7,97917.171875,21473.9296875,97917.171875,5290583577,5076947366,0,244341,False,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/logs/Q_gen_022.log
Q_gen_024,Q_21,change_label,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_024,8,7,103071.789062,38439.203125,103071.789062,5287580607,5069363599,0,244341,False,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/logs/Q_gen_024.log
Q_gen_025,Q_21,rewire,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_025,8,7,93219.320312,57936.0390625,93219.320312,986375350,1066321514,0,244341,False,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/logs/Q_gen_025.log
Q_gen_026,Q_21,rewire,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_026,8,7,78790.75,78790.75,44034.742188,543523108742,488595254329,0,244341,False,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/logs/Q_gen_026.log
Q_gen_027,Q_21,swap_labels,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_027,8,7,111547.046875,38280.3203125,111547.046875,5212118564,5071551675,0,244341,False,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/logs/Q_gen_027.log
Q_gen_028,Q_21,rewire_and_label,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_028,8,7,78059.148438,56872.15625,78059.148438,912796961,1030025844,0,244341,False,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/logs/Q_gen_028.log
Q_gen_029,Q_21,rewire,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_029,8,7,108452.984375,108452.984375,29588.914062,17970163099,13372363093,0,244341,False,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/logs/Q_gen_029.log
