query_name,seed_name,mutation,query_path,vertex_count,edge_count,selected_metric,initial_ms,incremental_ms,initial_matches,positive_matches,negative_matches,edge_updates,timed_out,log_path
Q_gen_001,Q_55,rewire,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/8v/accepted_queries/Q_gen_001,8,8,23317.0644531,23317.0644531,10488.97168,175085533,251912640,0,244341,False,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/8v/logs/Q_gen_001.log
Q_gen_003,Q_gen_010,change_label,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/8v/accepted_queries/Q_gen_003,8,7,30000.5136719,30000.5136719,,3455135630,,,,True,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/8v/logs/Q_gen_003.log
Q_gen_006,Q_38,swap_labels,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/8v/accepted_queries/Q_gen_006,8,8,18970.572266,5488.3051758,18970.572266,226252450,300898948,0,244341,False,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/8v/logs/Q_gen_006.log
Q_gen_007,Q_gen_004,swap_labels,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/8v/accepted_queries/Q_gen_007,8,7,30002.2109375,30002.2109375,,10371755699,,,,True,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/8v/logs/Q_gen_007.log
Q_gen_008,Q_97,rewire,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/8v/accepted_queries/Q_gen_008,8,8,15949.879883,4570.0317383,15949.879883,185699526,247308533,0,244341,False,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/8v/logs/Q_gen_008.log
Q_gen_010,Q_gen_008,swap_labels,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/8v/accepted_queries/Q_gen_010,8,7,30000.5234375,30000.5234375,,874670434,,,,True,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/8v/logs/Q_gen_010.log
Q_gen_011,Q_gen_029,change_label,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/8v/accepted_queries/Q_gen_011,8,7,30001.0371094,30001.0371094,,5105557524,,,,True,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/8v/logs/Q_gen_011.log
Q_gen_012,Q_gen_028,change_label,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/8v/accepted_queries/Q_gen_012,8,7,30000.8085938,30000.8085938,,469545445,,,,True,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/8v/logs/Q_gen_012.log
Q_gen_014,Q_19,rewire,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/8v/accepted_queries/Q_gen_014,8,8,29424.089844,9150.109375,29424.089844,563073102,721962957,0,244341,False,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/8v/logs/Q_gen_014.log
Q_gen_017,Q_gen_021,rewire_and_label,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/8v/accepted_queries/Q_gen_017,8,7,30288.363281,22186.578125,30288.363281,13505995352,3365887879,0,73721,True,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/8v/logs/Q_gen_017.log
Q_gen_021,Q_gen_025,change_label,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/8v/accepted_queries/Q_gen_021,8,7,30000.8046875,30000.8046875,,555892779,,,,True,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/8v/logs/Q_gen_021.log
Q_gen_022,Q_gen_018,swap_labels,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/8v/accepted_queries/Q_gen_022,8,7,30005.251953,19851.8144531,30005.251953,7585098072,3109363786,0,118695,True,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/8v/logs/Q_gen_022.log
