query,type,mode,initial,positive,negative,updates,time_ms,exit_code
Q_1,sparse,batch3,?,640687663,0,4285125,70153.4,0
Q_1,sparse,persistent,?,640687663,0,4285124,71511.8,0
Q_10,sparse,batch3,?,605721999,0,4285128,30758.2,0
Q_10,sparse,persistent,?,605721999,0,4285124,91873.7,0
Q_100,sparse,batch3,?,1562685443,0,4285124,70324.8,0
Q_100,sparse,persistent,?,1562685443,0,4285124,84235.7,0
Q_15,tree,batch3,?,?,?,?,?,124
Q_15,tree,persistent,?,?,?,?,?,124
Q_16,tree,batch3,?,7575901050,0,4285138,316263,0
Q_16,tree,persistent,?,7575901050,0,4285124,472834,0
Q_18,tree,batch3,?,3244921560,0,4285124,162738,0
Q_18,tree,persistent,?,3244921560,0,4285124,148579,0
Q_24,dense,batch3,?,369284700,0,4285130,15356.5,0
Q_24,dense,persistent,?,369284700,0,4285124,23398.4,0
Q_25,dense,batch3,?,363764285,0,4285130,17005,0
Q_25,dense,persistent,?,363764285,0,4285124,25543.4,0
Q_40,dense,batch3,?,381504099,0,4285126,19326.9,0
Q_40,dense,persistent,?,381504099,0,4285124,27741.1,0
