query,edges,serial_ms,parallel_ms,speedup,pos_serial,pos_parallel,neg_serial,neg_parallel,status
Q_gen_001,9,15632.5,5149.59,3.04,31241029,31241029,0,0,PASS
Q_gen_002,14,624.213,1610.95,0.39,447332,447332,0,0,PASS
Q_gen_003,14,513.274,925.076,0.55,1437352,1423552,0,0,MISMATCH
Q_gen_004,9,6562.52,4674.22,1.40,120410580,120410580,0,0,PASS
Q_gen_005,20,477.374,769.214,0.62,17060,17060,0,0,PASS
Q_gen_006,23,465.301,701.651,0.66,14071,14071,0,0,PASS
Q_gen_007,11,974.926,1878.96,0.52,2033087,2033087,0,0,PASS
Q_gen_008,9,4187.21,7168.89,0.58,11626240,11626240,0,0,PASS
Q_gen_009,7,skip,timeout,N/A,skip,?,skip,?,PAR_TIMEOUT
Q_gen_010,19,470.082,703.784,0.67,28166,28166,0,0,PASS
Q_gen_011,17,509.08,921.435,0.55,44189,44189,0,0,PASS
Q_gen_012,21,461.181,677.159,0.68,14939,14939,0,0,PASS
Q_gen_013,10,3040.01,2558.07,1.19,36900183,36900183,0,0,PASS
Q_gen_014,8,182775,115561,1.58,5956176444,5956176444,0,0,PASS
Q_gen_015,21,497.609,746.259,0.67,14764,14764,0,0,PASS
Q_gen_016,11,1085.3,1635.98,0.66,7942467,7942467,0,0,PASS
Q_gen_017,22,463.3,725.641,0.64,15387,15387,0,0,PASS
Q_gen_018,8,33097.8,13586.1,2.44,154327668,154327668,0,0,PASS
Q_gen_019,10,1949.46,2595.95,0.75,2173740,2173740,0,0,PASS
Q_gen_020,23,500.724,857.615,0.58,11300,11300,0,0,PASS
Q_gen_021,10,2375.18,5907.37,0.40,24410380,24410380,0,0,PASS
Q_gen_022,9,6171.35,4832.05,1.28,151367916,151367916,0,0,PASS
Q_gen_023,20,462.298,743.085,0.62,22166,22166,0,0,PASS
Q_gen_024,21,459.346,696.481,0.66,17009,17009,0,0,PASS
Q_gen_025,7,115735,49171.8,2.35,2290999595,2290999595,0,0,PASS
Q_gen_026,10,7543.07,3535.65,2.13,14232483,14232483,0,0,PASS
Q_gen_027,12,853.932,1590.4,0.54,559223,559223,0,0,PASS
Q_gen_028,10,2142.87,2446.79,0.88,13133737,13133737,0,0,PASS
Q_gen_029,14,652.832,1365.98,0.48,150013,150013,0,0,PASS
Q_gen_030,10,2057.12,2703.45,0.76,8822293,8822293,0,0,PASS
Q_gen_031,23,490.92,773.447,0.63,9979,9979,0,0,PASS
Q_gen_032,10,4413.95,3019.11,1.46,38512861,38512861,0,0,PASS
Q_gen_033,18,435.271,659.613,0.66,91565,91565,0,0,PASS
Q_gen_034,8,68236,40044.6,1.70,1326325875,1326325875,0,0,PASS
Q_gen_035,15,553.888,1135.31,0.49,494340,494340,0,0,PASS
Q_gen_036,18,460.277,720.266,0.64,120408,120408,0,0,PASS
Q_gen_037,19,469.618,909.294,0.52,27533,27533,0,0,PASS
Q_gen_038,21,453.451,711.942,0.64,18274,18274,0,0,PASS
Q_gen_039,8,84076.7,59546.7,1.41,2637562599,2637562599,0,0,PASS
Q_gen_040,19,513.067,871.964,0.59,24071,24071,0,0,PASS
Q_gen_041,7,skip,timeout,N/A,skip,?,skip,?,PAR_TIMEOUT
Q_gen_042,15,456.33,794.03,0.57,121955,121955,0,0,PASS
Q_gen_043,11,984.449,2017,0.49,2053387,2053387,0,0,PASS
Q_gen_044,7,skip,timeout,N/A,skip,?,skip,?,PAR_TIMEOUT
Q_gen_045,16,512.445,1039.23,0.49,49072,49072,0,0,PASS
Q_gen_046,14,494.203,971.326,0.51,1178430,1178430,0,0,PASS
Q_gen_047,14,599.13,1267.27,0.47,194127,194127,0,0,PASS
Q_gen_048,18,423.902,678.335,0.62,63217,63217,0,0,PASS
Q_gen_049,20,515.046,857.49,0.60,23904,23904,0,0,PASS
Q_gen_050,22,486.59,812.301,0.60,13872,13872,0,0,PASS
Q_gen_051,15,485.348,956.011,0.51,339330,339330,0,0,PASS
Q_gen_052,13,614.267,1608.54,0.38,518062,501265,0,0,MISMATCH
Q_gen_053,22,468.09,665.475,0.70,12592,12592,0,0,PASS
Q_gen_054,16,495.822,985.987,0.50,90365,90365,0,0,PASS
Q_gen_055,14,649.586,1307.41,0.50,108207,108207,0,0,PASS
Q_gen_056,23,475.934,689.2,0.69,12363,12363,0,0,PASS
Q_gen_057,7,158855,77540.9,2.05,3348071039,3348071039,0,0,PASS
Q_gen_058,23,477.005,736.716,0.65,14295,14295,0,0,PASS
Q_gen_059,8,skip,timeout,N/A,skip,?,skip,?,PAR_TIMEOUT
Q_gen_060,12,940.107,1804.84,0.52,1225363,1225363,0,0,PASS
Q_gen_061,17,468.295,781.808,0.60,65392,64869,0,0,MISMATCH
Q_gen_062,13,679.716,1530.41,0.44,242262,242262,0,0,PASS
Q_gen_063,13,674.348,1446.86,0.47,172047,172047,0,0,PASS
Q_gen_064,20,497.577,760.853,0.65,43728,43728,0,0,PASS
Q_gen_065,14,508.865,953.925,0.53,1355617,1355617,0,0,PASS
Q_gen_066,7,skip,timeout,N/A,skip,?,skip,?,PAR_TIMEOUT
Q_gen_067,21,448.932,673.039,0.67,20150,20150,0,0,PASS
Q_gen_068,17,451.611,766.95,0.59,56647,56647,0,0,PASS
Q_gen_069,12,842.659,1628.3,0.52,1301056,1301056,0,0,PASS
Q_gen_070,13,685.892,1224.8,0.56,2704105,2704105,0,0,PASS
Q_gen_071,18,476.158,785.609,0.61,29407,29407,0,0,PASS
Q_gen_072,22,457.657,711.867,0.64,15315,15315,0,0,PASS
Q_gen_073,21,468.369,724.271,0.65,15344,15344,0,0,PASS
Q_gen_074,22,471.687,720.523,0.65,18192,18192,0,0,PASS
Q_gen_075,9,5132.06,6574.26,0.78,92797988,92797988,0,0,PASS
Q_gen_076,14,661.512,1170.93,0.56,195515,195515,0,0,PASS
Q_gen_077,10,2096.51,2442.87,0.86,7240812,7240812,0,0,PASS
Q_gen_078,19,446.118,714.656,0.62,39778,39778,0,0,PASS
Q_gen_079,16,475.38,789.317,0.60,51073,51073,0,0,PASS
Q_gen_080,8,67437.5,41327.2,1.63,2371319405,2371319405,0,0,PASS
Q_gen_081,16,494.012,951.592,0.52,69980,69980,0,0,PASS
Q_gen_082,8,9867.68,5182.67,1.90,39826054,39826054,0,0,PASS
Q_gen_083,13,606.896,1173.92,0.52,2502920,2479548,0,0,MISMATCH
Q_gen_084,19,458.155,737.019,0.62,38070,38070,0,0,PASS
Q_gen_085,12,1013.32,2154.56,0.47,770462,770462,0,0,PASS
Q_gen_086,14,553.296,1093.85,0.51,177005,177005,0,0,PASS
Q_gen_087,14,702.706,1452.96,0.48,445291,445291,0,0,PASS
