query,type,serial_ms,parallel_ms,speedup,pos_serial,pos_parallel,neg_serial,neg_parallel,status
Q_5,tree,?,537346,N/A,?,8862993387,?,0,TIMEOUT(s=124,p=0)
Q_16,tree,?,397226,N/A,?,7575901050,?,0,TIMEOUT(s=124,p=0)
Q_18,tree,448790,151332,2.97,3244921560,3244921560,0,0,PASS
Q_28,tree,490589,136320,3.60,3408289256,3408289256,0,0,PASS
Q_30,tree,?,306931,N/A,?,8369736447,?,0,TIMEOUT(s=124,p=0)
Q_34,tree,293817,96870.6,3.03,1994394478,1994394478,0,0,PASS
Q_36,tree,598986,225611,2.65,4522093244,4522093244,0,0,PASS
Q_46,sparse,57751.4,22682.8,2.55,371292379,371292379,0,0,PASS
Q_55,sparse,184489,58273.7,3.17,1304322508,1304322508,0,0,PASS
Q_65,sparse,75258.2,34218,2.20,462952156,462952156,0,0,PASS
Q_75,sparse,122855,39615.6,3.10,583127001,583127001,0,0,PASS
Q_90,sparse,178403,58140,3.07,855785572,855785572,0,0,PASS
Q_95,sparse,141620,53350.6,2.65,1027842341,1027842341,0,0,PASS
Q_99,sparse,269848,137442,1.96,2281114837,2281114837,0,0,PASS
Q_9,dense,53435.6,23652.7,2.26,400835310,400835310,0,0,PASS
Q_24,dense,53696,23413.8,2.29,369284700,369284700,0,0,PASS
Q_25,dense,74586.8,25053.8,2.98,363764285,363764285,0,0,PASS
Q_40,dense,58649.6,23799.1,2.46,381504099,381504099,0,0,PASS
Q_54,dense,60750.1,21525.7,2.82,222816198,222816198,0,0,PASS
Q_70,dense,54567.5,22688.2,2.41,405835546,405835546,0,0,PASS
Q_85,dense,36454.8,22635.4,1.61,113632557,113632557,0,0,PASS
Q_92,dense,72541.9,25040.7,2.90,416868253,416868253,0,0,PASS
