query,type,serial_ms,parallel_ms,speedup,pos_serial,pos_parallel,neg_serial,neg_parallel,status
Q_1,sparse,96844.9,81515.8,1.19,640687663,640687663,0,0,PASS
Q_3,sparse,63584.1,86573,0.73,383881773,383881773,0,0,PASS
Q_10,sparse,179713,104236,1.72,605721999,605721999,0,0,PASS
Q_22,sparse,?,?,N/A,?,?,?,?,TIMEOUT(s=139,p=139)
Q_42,sparse,117325,54670.3,2.15,520240104,520240104,0,0,PASS
Q_60,sparse,254155,120105,2.12,1271549636,1271549636,0,0,PASS
Q_80,sparse,188231,57450.3,3.28,1380963298,1380963298,0,0,PASS
Q_100,sparse,216079,70346,3.07,1562685443,1562685443,0,0,PASS
Q_2,tree,336031,99128.3,3.39,2537717510,2537717510,0,0,PASS
Q_5,tree,?,293657,N/A,?,8862993387,?,0,TIMEOUT(s=124,p=0)
Q_16,tree,?,276868,N/A,?,7575901050,?,0,TIMEOUT(s=124,p=0)
Q_18,tree,?,115261,N/A,?,3244921560,?,0,TIMEOUT(s=124,p=0)
Q_28,tree,?,133053,N/A,?,3408289256,?,0,TIMEOUT(s=124,p=0)
Q_30,tree,?,?,N/A,?,?,?,?,TIMEOUT(s=124,p=124)
